iter	Passed	Remaining
0	2	231
1	5	251
2	7	235
3	8	212
4	10	202
5	12	195
6	14	193
7	16	193
8	18	191
9	21	189
10	23	189
11	25	186
12	27	186
13	33	205
14	35	202
15	37	198
16	40	195
17	42	191
18	44	187
19	46	184
20	48	181
21	50	178
22	52	175
23	54	172
24	56	168
25	58	165
26	60	163
27	62	159
28	64	157
29	66	155
30	68	152
31	70	150
32	72	147
33	74	144
34	76	142
35	78	139
36	80	137
37	82	134
38	84	132
39	86	130
40	89	128
41	89	124
42	91	121
43	93	119
44	96	117
45	98	115
46	100	113
47	102	111
48	104	108
49	106	106
50	108	103
51	110	101
52	112	99
53	114	97
54	115	94
55	117	92
56	119	90
57	121	87
58	123	85
59	125	83
60	127	81
61	129	79
62	131	77
63	133	75
64	136	73
65	138	71
66	140	69
67	142	67
68	145	65
69	148	63
70	149	61
71	152	59
72	154	57
73	156	55
74	159	53
75	160	50
76	162	48
77	164	46
78	166	44
79	167	41
80	169	39
81	171	37
82	173	35
83	175	33
84	177	31
85	179	29
86	181	27
87	183	24
88	185	22
89	186	20
90	188	18
91	190	16
92	192	14
93	193	12
94	195	10
95	197	8
96	199	6
97	200	4
98	202	2
99	204	0
