iter	Passed	Remaining
0	121	121332
1	123	61692
2	125	41640
3	127	31867
4	132	26308
5	133	22182
6	136	19346
7	139	17270
8	143	15765
9	145	14357
10	146	13145
11	148	12203
12	149	11336
13	150	10591
14	151	9964
15	153	9416
16	154	8960
17	156	8537
18	157	8150
19	159	7793
20	160	7490
21	161	7197
22	163	6956
23	165	6725
24	166	6501
25	168	6317
26	170	6144
27	171	5958
28	173	5803
29	174	5633
30	175	5499
31	177	5367
32	178	5239
33	179	5110
34	181	5012
35	183	4919
36	185	4830
37	187	4735
38	188	4636
39	189	4551
40	191	4469
41	192	4388
42	193	4315
43	195	4248
44	196	4180
45	198	4118
46	200	4056
47	201	3992
48	202	3932
49	203	3873
50	205	3816
51	206	3762
52	207	3710
53	208	3657
54	210	3613
55	211	3564
56	212	3514
57	214	3476
58	215	3436
59	217	3408
60	219	3375
61	220	3335
62	221	3295
63	222	3257
64	223	3216
65	224	3179
66	225	3142
67	226	3104
68	227	3068
69	228	3032
70	229	3002
71	230	2969
72	231	2936
73	232	2905
74	233	2874
75	233	2844
76	234	2814
77	235	2784
78	236	2756
79	237	2728
80	238	2701
81	238	2674
82	239	2644
83	240	2619
84	241	2595
85	241	2571
86	242	2548
87	243	2527
88	244	2506
89	245	2485
90	246	2464
91	247	2443
92	248	2422
93	249	2402
94	250	2381
95	250	2362
96	251	2343
97	252	2324
98	253	2305
99	254	2287
100	254	2269
101	255	2252
102	256	2235
103	257	2218
104	258	2201
105	259	2185
106	260	2171
107	261	2156
108	261	2140
109	262	2125
110	263	2110
111	264	2096
112	265	2082
113	266	2068
114	266	2054
115	267	2040
116	268	2025
117	269	2012
118	270	1998
119	270	1986
120	271	1973
121	272	1959
122	273	1947
123	273	1935
124	274	1924
125	275	1913
126	276	1901
127	277	1890
128	278	1879
129	279	1867
130	279	1856
131	280	1845
132	281	1835
133	282	1824
134	283	1814
135	284	1804
136	284	1794
137	285	1784
138	286	1775
139	287	1765
140	288	1755
141	288	1744
142	289	1734
143	291	1729
144	291	1721
145	292	1712
146	293	1703
147	294	1694
148	295	1686
149	296	1678
150	297	1670
151	297	1662
152	298	1653
153	299	1645
154	300	1637
155	301	1629
156	302	1621
157	302	1613
158	303	1605
159	304	1598
160	304	1589
161	306	1584
162	307	1577
163	308	1570
164	308	1563
165	309	1556
166	310	1549
167	311	1542
168	312	1535
169	313	1529
170	314	1522
171	314	1515
172	315	1509
173	316	1503
174	317	1496
175	318	1490
176	319	1483
177	319	1477
178	320	1471
179	321	1466
180	322	1461
181	323	1455
182	324	1450
183	325	1444
184	326	1438
185	327	1432
186	328	1427
187	329	1421
188	330	1416
189	330	1410
190	331	1405
191	332	1399
192	333	1394
193	334	1389
194	335	1384
195	336	1379
196	337	1374
197	338	1369
198	338	1363
199	339	1358
200	340	1353
201	341	1348
202	342	1343
203	343	1338
204	343	1333
205	344	1328
206	345	1323
207	346	1318
208	347	1313
209	347	1308
210	348	1304
211	349	1299
212	350	1295
213	351	1291
214	352	1287
215	353	1282
216	354	1278
217	354	1273
218	355	1269
219	356	1264
220	357	1260
221	358	1255
222	359	1251
223	359	1247
224	360	1242
225	361	1238
226	362	1233
227	363	1229
228	364	1226
229	365	1222
230	366	1218
231	367	1215
232	368	1212
233	369	1208
234	370	1204
235	371	1201
236	371	1197
237	372	1193
238	373	1189
239	374	1185
240	375	1181
241	376	1177
242	376	1174
243	377	1170
244	378	1167
245	379	1163
246	380	1161
247	382	1158
248	383	1156
249	384	1153
250	385	1150
251	386	1146
252	387	1143
253	387	1139
254	388	1136
255	389	1132
256	390	1129
257	391	1126
258	392	1122
259	393	1119
260	394	1116
261	395	1113
262	396	1109
263	397	1106
264	398	1104
265	399	1101
266	399	1098
267	400	1094
268	401	1091
269	402	1087
270	403	1084
271	404	1081
272	404	1078
273	405	1074
274	406	1071
275	407	1068
276	408	1065
277	409	1062
278	410	1059
279	410	1056
280	411	1053
281	412	1050
282	413	1048
283	414	1046
284	415	1043
285	416	1040
286	417	1037
287	418	1034
288	419	1031
289	420	1028
290	420	1025
291	421	1022
292	422	1019
293	423	1016
294	424	1013
295	424	1010
296	425	1007
297	426	1005
298	427	1002
299	429	1001
300	430	998
301	430	995
302	431	993
303	432	990
304	433	987
305	434	985
306	435	982
307	436	979
308	436	977
309	437	974
310	438	971
311	439	969
312	440	966
313	441	963
314	442	961
315	443	959
316	444	958
317	445	955
318	446	953
319	447	950
320	448	948
321	449	945
322	449	943
323	450	940
324	451	937
325	452	935
326	453	933
327	454	930
328	455	928
329	455	925
330	456	923
331	457	921
332	458	919
333	459	917
334	460	914
335	461	912
336	462	909
337	463	907
338	464	904
339	464	902
340	465	899
341	466	897
342	467	894
343	468	892
344	468	890
345	469	887
346	470	885
347	471	883
348	472	880
349	473	878
350	474	876
351	475	874
352	475	872
353	476	870
354	477	868
355	478	866
356	479	864
357	480	861
358	481	859
359	482	857
360	483	855
361	483	852
362	484	850
363	485	848
364	486	846
365	487	844
366	488	842
367	489	840
368	490	839
369	491	837
370	492	834
371	493	832
372	494	830
373	495	828
374	495	826
375	496	824
376	497	821
377	498	819
378	499	817
379	499	815
380	500	813
381	501	811
382	502	809
